Sample 117: No. iterations = 10, Error = 0.456928
Sample 118: No. iterations = 10, Error = 0.502469
Sample 119: No. iterations = 10, Error = 0.413622
Sample 120: No. iterations = 10, Error = 0.347391
Sample 121: No. iterations = 10, Error = 0.477944
Sample 122: No. iterations = 10, Error = 0.354758
Sample 123: No. iterations = 10, Error = 0.496617
Sample 124: No. iterations = 10, Error = 0.427625
Sample 125: No. iterations = 10, Error = 0.270298
Sample 126: No. iterations = 10, Error = 0.42828
Sample 127: No. iterations = 10, Error = 0.427012
Sample 128: No. iterations = 10, Error = 0.485121
Sample 129: No. iterations = 10, Error = 0.283756
Sample 130: No. iterations = 10, Error = 0.433901
Sample 131: No. iterations = 10, Error = 0.462516
Sample 132: No. iterations = 10, Error = 0.48552
Sample 133: No. iterations = 10, Error = 0.495137
Sample 134: No. iterations = 10, Error = 0.423049
Sample 135: No. iterations = 10, Error = 0.34766
Sample 136: No. iterations = 10, Error = 0.445511
Sample 137: No. iterations = 10, Error = 0.443877
Sample 138: No. iterations = 10, Error = 0.44758
Sample 139: No. iterations = 10, Error = 0.489696
Sample 140: No. iterations = 10, Error = 0.438363
Sample 141: No. iterations = 10, Error = 0.492208
Sample 142: No. iterations = 10, Error = 0.417603
Sample 143: No. iterations = 10, Error = 0.44148
Sample 144: No. iterations = 10, Error = 0.460005
Sample 145: No. iterations = 10, Error = 0.422402
Sample 146: No. iterations = 10, Error = 0.456532
Sample 147: No. iterations = 10, Error = 0.403664
Sample 148: No. iterations = 10, Error = 0.4314
Sample 149: No. iterations = 10, Error = 0.463906
Sample 150: No. iterations = 10, Error = 0.437661
Sample 151: No. iterations = 10, Error = 0.459298
Sample 152: No. iterations = 10, Error = 0.431885
Sample 153: No. iterations = 10, Error = 0.330547
Sample 154: No. iterations = 10, Error = 0.436634
Sample 155: No. iterations = 10, Error = 0.471733
Sample 156: No. iterations = 10, Error = 0.411475
Sample 157: No. iterations = 10, Error = 0.406399
Sample 158: No. iterations = 10, Error = 0.421672
Sample 159: No. iterations = 10, Error = 0.374832
Sample 160: No. iterations = 10, Error = 0.467294
Sample 161: No. iterations = 10, Error = 0.457014
Sample 162: No. iterations = 10, Error = 0.479208
Sample 163: No. iterations = 10, Error = 0.461041
Sample 164: No. iterations = 10, Error = 0.456132
Sample 165: No. iterations = 10, Error = 0.374475
Sample 166: No. iterations = 10, Error = 0.377749
Sample 167: No. iterations = 10, Error = 0.39728
Sample 168: No. iterations = 10, Error = 0.409696
Sample 169: No. iterations = 10, Error = 0.456513
Sample 170: No. iterations = 10, Error = 0.413933
Sample 171: No. iterations = 10, Error = 0.427036
Sample 172: No. iterations = 10, Error = 0.478068
Sample 173: No. iterations = 10, Error = 0.393358
Sample 174: No. iterations = 10, Error = 0.455092
Sample 175: No. iterations = 10, Error = 0.3244
Sample 176: No. iterations = 10, Error = 0.451102
Sample 177: No. iterations = 10, Error = 0.395919
Sample 178: No. iterations = 10, Error = 0.364176
Sample 179: No. iterations = 10, Error = 0.468561
Sample 180: No. iterations = 10, Error = 0.446013
Sample 181: No. iterations = 10, Error = 0.464861
Sample 182: No. iterations = 10, Error = 0.43699
Sample 183: No. iterations = 10, Error = 0.493031
Sample 184: No. iterations = 10, Error = 0.345585
Sample 185: No. iterations = 10, Error = 0.337156
Sample 186: No. iterations = 10, Error = 0.45269
Sample 187: No. iterations = 10, Error = 0.420226
Sample 188: No. iterations = 10, Error = 0.438371
Sample 189: No. iterations = 10, Error = 0.456038
Sample 190: No. iterations = 10, Error = 0.420853
Sample 191: No. iterations = 10, Error = 0.39049
Sample 192: No. iterations = 10, Error = 0.446171
Sample 193: No. iterations = 10, Error = 0.445983
Sample 194: No. iterations = 10, Error = 0.412619
Sample 195: No. iterations = 10, Error = 0.445265
Sample 196: No. iterations = 10, Error = 0.376395
Sample 197: No. iterations = 10, Error = 0.384516
Sample 198: No. iterations = 10, Error = 0.445956
Sample 199: No. iterations = 10, Error = 0.4257
Sample 200: No. iterations = 10, Error = 0.396011
Sample 201: No. iterations = 10, Error = 0.373737
Sample 202: No. iterations = 10, Error = 0.402861
Sample 203: No. iterations = 10, Error = 0.420871
Sample 204: No. iterations = 10, Error = 0.443808
